Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.40962829, 120.59835557]",0.77,1.8,False
"[16.40975915, 120.59835154]",0.63,1.36,False
"[16.40987764, 120.59843001]",0.97,4.72,False
"[16.40994376, 120.5985297]",0.95,2.02,False
"[16.41002358, 120.59860222]",0.87,3.97,False
"[16.4100711, 120.5987151]",0.73,1.56,False
"[16.41015846, 120.59879243]",0.84,3.66,False
"[16.41027129, 120.59884512]",0.76,1.92,False
"[16.4103468, 120.59894149]",0.66,4.17,True
"[16.41041987, 120.5990018]",0.89,3.66,True
"[16.4105145, 120.59903853]",0.84,4.2,False
"[16.41059577, 120.59912171]",0.77,2.25,False
"[16.410721, 120.5991392]",0.76,3.88,False
"[16.41086173, 120.59912849]",0.77,1.88,False
"[16.41095745, 120.59915379]",0.94,3.17,False
"[16.41095072, 120.59925517]",0.96,3.02,True
"[16.41082667, 120.59934805]",0.98,1.17,False
"[16.41068376, 120.5994309]",0.64,1.16,True
"[16.41058643, 120.59947973]",0.63,3.26,False
"[16.41046618, 120.59951753]",0.73,1.84,True
"[16.41033274, 120.59957045]",0.98,4.82,True
"[16.41018862, 120.59963579]",0.96,3.82,True
"[16.41005455, 120.59970469]",0.93,1.0,True
"[16.40994566, 120.59976693]",0.8,4.66,False
"[16.40981829, 120.59984419]",0.64,2.75,False
"[16.40967477, 120.59988365]",0.71,1.16,True
"[16.4095455, 120.59991428]",0.77,1.08,False
"[16.4094299, 120.59993501]",0.73,3.1,True
"[16.40933817, 120.59996321]",0.87,3.73,False
"[16.40924925, 120.59998022]",0.78,3.22,True
"[16.4091558, 120.59999573]",0.98,1.39,False
"[16.4090664, 120.60002721]",0.9,3.02,True
"[16.408947, 120.60005231]",0.92,4.1,True
"[16.40877303, 120.60009405]",0.91,2.86,True
"[16.40860575, 120.60009755]",0.88,1.02,True
"[16.40849141, 120.60007971]",0.7,2.13,True
"[16.40837174, 120.60008038]",0.87,4.58,True
"[16.40828378, 120.60011119]",0.8,1.65,True
"[16.40818889, 120.60014816]",0.89,3.77,True
"[16.40803233, 120.60020169]",0.73,2.07,False
"[16.40791136, 120.60026368]",0.81,1.26,True
"[16.40774626, 120.60030529]",0.88,3.64,True
"[16.40763212, 120.60034373]",0.84,2.88,True
"[16.40749217, 120.60039633]",1.0,2.37,True
"[16.40739547, 120.60050755]",0.68,3.04,False
"[16.4074013, 120.60060243]",0.73,4.92,True
"[16.40754033, 120.60063534]",1.0,4.45,True
"[16.40758827, 120.60071558]",0.92,2.4,True
"[16.40771324, 120.60072481]",0.77,2.32,False
"[16.40783284, 120.6007482]",0.96,4.22,True
"[16.40796628, 120.60075024]",0.85,4.8,True
"[16.40806775, 120.60081866]",0.96,4.35,True
"[16.40818328, 120.60090639]",0.63,1.73,True
"[16.40829491, 120.60101992]",0.8,3.64,False
"[16.4083277, 120.60111093]",0.96,4.32,False
"[16.40851232, 120.601303]",0.73,2.78,False
"[16.4085889, 120.60147716]",0.78,1.91,False
"[16.40864819, 120.60160779]",0.89,4.49,False
"[16.40871737, 120.6017029]",0.78,2.8,False
"[16.40879489, 120.60180118]",0.65,2.54,True
"[16.40899286, 120.60200221]",0.89,1.2,False
"[16.40907824, 120.60195551]",0.69,1.45,False
"[16.40909007, 120.60183858]",0.64,1.85,True
"[16.40904921, 120.60169943]",0.89,2.54,False
"[16.40897107, 120.60163777]",0.63,4.58,True
"[16.40893271, 120.60153683]",0.63,3.48,True
"[16.40889527, 120.60140616]",0.9,1.51,False
"[16.40885937, 120.60130827]",0.9,1.38,True
"[16.40896877, 120.60113993]",0.71,1.68,False
"[16.40914825, 120.60109984]",0.96,4.57,True
"[16.4093347, 120.60109397]",0.92,4.91,False
"[16.40955946, 120.60106703]",0.88,2.84,True
"[16.40976967, 120.60094718]",0.87,3.78,False
"[16.40990193, 120.60082253]",0.69,1.74,False
"[16.41001766, 120.60065348]",0.84,4.2,True
"[16.41009817, 120.60044797]",0.66,3.74,True
"[16.41018942, 120.60028985]",0.61,4.34,False
"[16.41028784, 120.60008001]",0.67,3.02,True
"[16.41040773, 120.5999687]",0.83,3.36,False
"[16.41053993, 120.59988483]",0.98,3.67,False
"[16.41063608, 120.59985285]",0.92,2.35,True
"[16.41068089, 120.59976712]",0.71,1.39,False
"[16.4107861, 120.59972208]",0.96,2.64,False
"[16.41093807, 120.59970651]",0.89,3.47,True
"[16.41109154, 120.59969608]",0.77,4.31,False
"[16.41126395, 120.59966583]",0.8,4.94,False
"[16.41141809, 120.59962009]",0.94,1.46,True
"[16.4115719, 120.59957246]",0.75,3.45,True
"[16.41170264, 120.59949221]",0.63,1.87,True
"[16.41178732, 120.59945747]",0.86,3.35,True
"[16.41194714, 120.59940164]",0.68,2.75,False
"[16.41209606, 120.59944717]",0.92,3.88,False
"[16.41220516, 120.59949304]",0.82,2.73,False
"[16.41230591, 120.59958166]",0.76,4.06,True
"[16.41240167, 120.59966069]",0.66,2.69,True
"[16.41250478, 120.5997143]",0.82,3.13,True
"[16.41261561, 120.59971268]",0.78,3.76,True
"[16.41280336, 120.5996194]",0.97,1.47,False
"[16.41292031, 120.59947913]",0.71,3.3,False
"[16.41304829, 120.59933815]",0.96,4.46,False
"[16.41330184, 120.59932318]",0.99,4.22,False
"[16.41342949, 120.59939968]",0.85,3.95,False
"[16.41360653, 120.59951369]",0.88,3.77,True
"[16.41373009, 120.5995765]",0.94,4.34,False
"[16.41382332, 120.59966812]",0.84,1.77,False
"[16.41390557, 120.5997185]",0.95,4.58,False
"[16.41410855, 120.59958358]",0.79,4.75,True
"[16.41426083, 120.59963798]",0.97,4.41,True
"[16.41436883, 120.59960758]",0.65,1.87,True
"[16.41463852, 120.59959865]",0.74,3.6,True
"[16.41475155, 120.59955282]",0.76,4.25,False
"[16.41484486, 120.59941241]",0.73,3.79,False
"[16.41495727, 120.59935997]",0.84,3.71,True
"[16.41504782, 120.59932517]",0.86,1.64,True
"[16.41516287, 120.59930815]",0.9,4.15,True
"[16.41534051, 120.59933017]",0.69,3.75,False
"[16.41556258, 120.59942857]",0.7,1.76,False
"[16.41575943, 120.59951319]",1.0,4.04,False
"[16.41591659, 120.59953915]",0.85,1.96,False
"[16.41606863, 120.59951654]",0.61,3.81,False
"[16.41619748, 120.59941638]",0.92,3.83,True
"[16.41632688, 120.59930295]",0.93,4.3,False
"[16.41640594, 120.59918099]",0.62,2.45,True
"[16.41652662, 120.59910995]",0.93,4.12,False
"[16.41666598, 120.5991345]",0.79,3.71,True
"[16.41678764, 120.59908171]",0.98,2.57,True
"[16.41684878, 120.5989314]",0.95,2.77,False
"[16.41689456, 120.59877087]",0.85,2.3,True
"[16.41695482, 120.59863157]",0.95,4.26,False
"[16.41706629, 120.59860827]",0.98,1.8,True
"[16.41729738, 120.59872076]",0.84,3.93,False
"[16.41745714, 120.59886067]",0.84,3.3,True
"[16.41762103, 120.59890704]",0.73,4.68,True
"[16.41780887, 120.5988832]",0.86,2.75,False
"[16.41800473, 120.59889699]",0.6,3.54,False
"[16.41818476, 120.5988118]",0.9,4.69,True
"[16.41838698, 120.59878424]",0.63,1.77,False
"[16.41854857, 120.59865857]",0.73,3.92,True
"[16.41869788, 120.5985376]",0.74,2.06,False
"[16.41884603, 120.59839352]",0.72,2.92,False
"[16.4189608, 120.59836947]",0.64,4.46,False
"[16.41906386, 120.59832181]",0.79,1.09,False
"[16.41912761, 120.59825162]",0.96,2.01,False
"[16.4192097, 120.59818087]",0.97,4.48,True
"[16.41917751, 120.59829728]",0.65,3.39,False
"[16.41913463, 120.59840847]",0.81,4.16,True
"[16.41907733, 120.59856876]",0.63,3.89,False
"[16.41908934, 120.59868976]",0.75,3.48,True
"[16.4191856, 120.59879665]",0.75,3.14,True
"[16.41933377, 120.59885823]",0.87,3.41,False
"[16.41951845, 120.59889224]",0.65,3.47,False
"[16.41967474, 120.59892704]",0.81,1.41,True
"[16.41976726, 120.59897896]",0.61,3.77,True
"[16.41987048, 120.59899727]",0.81,3.41,True
"[16.42001858, 120.59902884]",0.67,3.44,True
"[16.42015777, 120.59907266]",0.61,4.03,True
"[16.42030931, 120.59914779]",0.81,1.78,True
"[16.42040717, 120.5991975]",0.93,2.19,True
"[16.42055031, 120.59927961]",0.93,2.0,True
"[16.42069148, 120.59939135]",0.99,2.55,False
"[16.42083713, 120.59952946]",0.99,3.83,True
"[16.42101333, 120.59965887]",0.93,1.66,False
"[16.42116678, 120.5997671]",0.76,3.44,False
"[16.42131989, 120.59989045]",0.97,2.08,True
"[16.42142347, 120.60002444]",0.84,2.69,False
"[16.421561, 120.60011518]",0.89,3.55,True
"[16.42171092, 120.60004515]",0.87,3.79,True
"[16.4217789, 120.5999333]",0.72,2.56,True
"[16.4219062, 120.59972521]",0.71,1.53,True
"[16.42204341, 120.59956605]",0.87,4.71,False
"[16.42216108, 120.59942774]",0.65,3.03,True
"[16.42228576, 120.59931164]",0.84,1.39,False
"[16.42240895, 120.59922938]",0.65,1.09,False
"[16.42261951, 120.59916622]",0.68,2.29,False
"[16.42280542, 120.59920588]",0.95,2.87,False
"[16.42295832, 120.59924893]",0.75,3.46,True
"[16.42313243, 120.59929379]",0.9,3.84,False
"[16.42327127, 120.59929366]",0.71,4.51,False
"[16.42336723, 120.59925582]",0.86,1.96,True
"[16.42345799, 120.59923439]",0.82,4.76,False
"[16.42355044, 120.59912145]",0.98,3.06,False
"[16.42363499, 120.59898939]",0.81,1.42,True
"[16.42379262, 120.59883722]",0.63,3.01,True
"[16.42392162, 120.59866174]",0.62,3.47,False
"[16.42397507, 120.59850783]",0.79,2.47,True
"[16.42411135, 120.5983787]",0.65,3.69,False
"[16.42425025, 120.59828938]",0.79,4.26,False
"[16.42441825, 120.59814146]",0.72,3.23,False
"[16.42458929, 120.5979805]",0.78,1.68,True
"[16.42474407, 120.59784872]",0.81,4.17,True
"[16.42486984, 120.59772061]",0.81,3.2,True
"[16.42497916, 120.59758543]",0.66,4.52,True
"[16.42504521, 120.59745098]",0.74,3.71,False
"[16.42512295, 120.59732923]",0.94,1.1,True
"[16.42519676, 120.59709652]",0.66,1.69,True
"[16.42526033, 120.5968846]",0.9,4.43,False
"[16.42530836, 120.59677044]",0.73,3.25,False
"[16.42538046, 120.59659786]",0.63,1.56,True
"[16.42544435, 120.59640352]",0.87,3.27,False
"[16.42549649, 120.59624066]",0.8,2.71,True
"[16.42553463, 120.59612394]",0.88,2.08,False
"[16.42552981, 120.59601563]",0.92,1.2,True
"[16.42552908, 120.59591337]",0.74,3.87,True
"[16.42549152, 120.59575417]",0.83,3.04,True
"[16.4254355, 120.59555681]",0.77,2.96,True
"[16.42540968, 120.59544936]",0.66,4.55,True
"[16.42538592, 120.59532529]",0.91,2.43,True
"[16.42535957, 120.59521367]",0.95,4.99,False
"[16.4253261, 120.59510387]",0.96,3.59,True
"[16.4253095, 120.59499618]",0.95,2.87,True
"[16.42528691, 120.59479562]",0.93,3.49,True
"[16.42526047, 120.59464753]",0.8,1.75,True
"[16.42524169, 120.59454014]",0.68,1.78,True
"[16.42525408, 120.59443371]",0.99,3.15,True
"[16.42524737, 120.59424632]",0.61,2.33,False
"[16.42537437, 120.59411381]",0.71,2.27,False
"[16.42547668, 120.59398203]",0.98,4.78,False
"[16.42554902, 120.59391939]",0.98,2.58,False
"[16.42565078, 120.59389923]",0.85,3.95,True
"[16.42568245, 120.59387423]",0.88,2.25,False
"[16.42568031, 120.59388138]",0.8,2.28,False
"[16.42573031, 120.59378355]",0.69,4.02,True
"[16.42573582, 120.5936881]",0.67,2.64,False
"[16.42562795, 120.59351182]",0.62,4.54,True
"[16.42553999, 120.59337731]",0.73,2.4,True
"[16.42542162, 120.59324524]",0.86,1.96,False
"[16.42531169, 120.59310807]",0.82,2.96,True
"[16.42519612, 120.59296445]",0.91,1.58,True
"[16.42506592, 120.59281487]",0.69,3.41,False
"[16.4249041, 120.59267114]",0.76,1.82,True
"[16.42474904, 120.59253976]",0.93,3.97,False
"[16.4246314, 120.5924286]",0.8,4.44,False
"[16.42450281, 120.59239071]",0.92,3.59,True
"[16.42415608, 120.59254516]",0.83,3.53,False
"[16.4239427, 120.59270802]",0.77,4.89,False
"[16.42377268, 120.59287351]",0.62,4.76,False
"[16.42361337, 120.59299121]",0.72,4.56,False
"[16.42351407, 120.59306481]",0.7,1.82,True
"[16.42339834, 120.59317035]",0.77,3.83,False
"[16.42327277, 120.5932477]",0.69,3.96,False
"[16.42316521, 120.59331218]",0.9,4.13,False
"[16.42303864, 120.5932924]",0.84,3.02,False
"[16.42294483, 120.59328002]",0.82,4.43,False
"[16.42281912, 120.59325083]",0.68,4.35,False
"[16.42267743, 120.5932313]",0.64,2.53,True
"[16.42252593, 120.59321891]",0.71,3.12,True
"[16.42238123, 120.59320552]",0.75,4.38,True
"[16.42222722, 120.59318774]",0.75,2.53,False
"[16.42204917, 120.59319179]",0.7,1.79,False
"[16.42184739, 120.59319275]",0.97,1.7,True
"[16.42168746, 120.59320697]",0.66,2.42,False
"[16.42153045, 120.59321429]",0.94,1.68,True
"[16.42136529, 120.59321428]",0.61,2.68,True
"[16.42119629, 120.5932033]",0.94,1.8,True
"[16.4210324, 120.59318315]",0.64,4.85,False
"[16.42087342, 120.59314161]",0.94,3.84,True
"[16.42073592, 120.59310836]",0.79,3.83,False
"[16.4206244, 120.59307521]",0.62,2.17,True
"[16.4205084, 120.59304312]",0.83,1.89,True
"[16.42038367, 120.59301598]",0.84,1.88,False
"[16.42026326, 120.59301515]",0.88,3.55,True
"[16.42015008, 120.59306645]",0.89,3.28,True
"[16.42004269, 120.59319778]",0.61,2.92,True
"[16.41991177, 120.59334334]",0.73,2.71,True
"[16.41980589, 120.59348754]",0.99,3.98,False
"[16.41973364, 120.59364961]",0.9,1.35,False
"[16.41969207, 120.59386938]",0.76,3.21,True
"[16.4196738, 120.59408068]",0.92,1.63,False
"[16.41959455, 120.59427683]",0.98,3.6,False
"[16.41949067, 120.5944392]",0.7,2.36,True
"[16.41935806, 120.59459366]",0.63,3.39,True
"[16.41927386, 120.59472136]",0.79,2.33,False
"[16.41911299, 120.59481435]",0.91,3.22,True
"[16.41892206, 120.5948037]",1.0,3.18,False
"[16.41873716, 120.59476297]",0.95,3.34,True
"[16.41854644, 120.59473296]",0.92,4.39,False
"[16.41838031, 120.59472937]",0.79,4.32,False
"[16.41828053, 120.59473178]",0.72,3.18,True
"[16.4182056, 120.59478706]",0.72,4.05,False
"[16.4180888, 120.59486111]",0.91,2.17,True
"[16.41789672, 120.59495704]",0.71,1.04,True
"[16.4177878, 120.59501186]",0.78,3.93,False
"[16.41766268, 120.59512137]",0.75,2.46,True
"[16.41758369, 120.59520057]",0.84,3.76,False
"[16.41752991, 120.59528487]",0.92,1.8,False
"[16.41742673, 120.59537843]",0.66,4.2,True
"[16.41734568, 120.59546424]",0.76,3.05,False
"[16.41725577, 120.59557099]",0.67,4.66,True
"[16.41714005, 120.59570553]",0.96,2.58,True
"[16.41702791, 120.59585048]",0.69,1.84,False
"[16.41695723, 120.5959463]",0.78,4.07,True
"[16.41689615, 120.59602261]",0.97,2.46,True
"[16.41677644, 120.59609752]",0.84,3.34,True
"[16.41657394, 120.59604611]",0.9,1.7,True
"[16.41640108, 120.59601158]",0.79,3.92,True
"[16.41626601, 120.5959686]",0.73,2.22,True
"[16.41611512, 120.59595592]",0.82,2.65,True
"[16.41595769, 120.59595112]",0.62,3.44,False
"[16.41583894, 120.59591271]",0.7,3.35,False
"[16.41569412, 120.59585528]",0.7,4.71,True
"[16.41551449, 120.59581143]",0.83,2.64,True
"[16.41537845, 120.59577807]",0.99,1.17,True
"[16.41522322, 120.59575036]",0.73,1.69,False
"[16.41503192, 120.59570549]",0.78,3.56,False
"[16.41491693, 120.59567329]",0.98,3.15,False
"[16.41480759, 120.59562301]",0.63,1.3,True
"[16.41464605, 120.5955896]",0.72,1.9,True
"[16.41451651, 120.59556046]",0.85,4.35,True
"[16.41437078, 120.59550833]",0.89,2.5,True
"[16.41426557, 120.59547819]",0.75,2.78,False
"[16.41410726, 120.59542616]",0.66,3.07,True
"[16.41399683, 120.59536719]",0.9,3.59,False
"[16.41389661, 120.59528718]",0.64,2.27,True
"[16.41380077, 120.59519894]",0.64,2.83,True
"[16.41367398, 120.59508669]",0.77,1.6,False
"[16.41354261, 120.59496559]",0.78,4.07,False
"[16.41334194, 120.59491706]",0.81,3.69,True
"[16.4132232, 120.59495367]",0.99,4.06,False
"[16.41306816, 120.59511539]",0.63,3.11,False
"[16.41296068, 120.59522]",0.67,2.51,False
"[16.4128794, 120.59533117]",0.97,2.9,False
"[16.41280055, 120.59540692]",0.65,3.88,True
"[16.41272314, 120.59546587]",0.69,1.14,False
"[16.41259754, 120.59556479]",0.6,1.03,True
"[16.41250671, 120.59564896]",0.62,3.26,False
"[16.41239966, 120.59576057]",0.68,4.46,False
"[16.41233714, 120.59584091]",0.81,4.75,True
"[16.41225302, 120.59595111]",0.64,3.9,False
"[16.41215906, 120.59605531]",0.9,2.81,True
"[16.41203179, 120.59619135]",0.96,1.35,False
"[16.41192766, 120.59630577]",0.75,2.85,True
"[16.41181493, 120.59642457]",0.92,1.82,False
"[16.41169955, 120.59653594]",0.86,4.7,False
"[16.41156441, 120.59666113]",0.79,3.04,True
"[16.411359, 120.59687203]",0.71,4.7,True
"[16.4112406, 120.59697032]",0.73,4.21,True
"[16.41115571, 120.5970342]",0.65,1.48,False
"[16.41101736, 120.59720696]",0.7,4.55,False
"[16.41088699, 120.5972695]",0.62,2.69,True
"[16.4107041, 120.59726681]",0.96,2.96,False
"[16.41052071, 120.59725993]",0.75,4.29,False
"[16.41032808, 120.59724717]",0.94,4.15,False
"[16.41017489, 120.59721763]",0.83,2.28,True
"[16.41001491, 120.59719615]",0.62,2.07,True
"[16.40984896, 120.59717376]",0.95,3.65,True
"[16.40971987, 120.5971457]",1.0,2.71,True
"[16.40958472, 120.59714081]",0.95,4.05,False
"[16.40948963, 120.59713105]",0.92,1.08,True
"[16.4092977, 120.59720857]",0.97,3.37,True
"[16.40912977, 120.59729659]",0.66,2.67,True
"[16.40900438, 120.59735614]",0.85,3.98,True
"[16.40889985, 120.597403]",0.8,1.54,True
"[16.40875299, 120.59748207]",0.9,3.2,True
"[16.40858944, 120.59755901]",0.83,5.0,True
"[16.40840202, 120.59768351]",0.69,4.79,False
"[16.40820438, 120.59779877]",0.95,3.26,False
"[16.40801574, 120.59789562]",0.77,4.49,True
"[16.40787386, 120.59798818]",0.87,4.1,True
"[16.40778198, 120.59802803]",0.87,2.0,True
"[16.40767262, 120.59809742]",0.94,2.62,True
"[16.40764792, 120.5982295]",0.92,2.45,True
"[16.40783157, 120.59827646]",0.7,2.05,True
"[16.40792243, 120.59827212]",0.62,3.25,False
"[16.4080136, 120.59824792]",0.82,3.27,True
"[16.40810693, 120.59819981]",0.68,3.18,False
"[16.40829347, 120.59817933]",0.95,2.79,False
"[16.40843348, 120.59814932]",0.95,2.45,True
"[16.4085551, 120.59815527]",0.62,3.79,True
"[16.40867796, 120.59820328]",0.66,1.03,False
